ID du problème,Description,État,Gravité,Estimation en points (story point),Chemin d’accès du projet,Genre d’emplacement,Chemin,Ligne,Colonne,ID d‘incident,Lien d'aide,Nom de l'assembly,Version de l'assembly,Clé publique d’assemblée,Extrait
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,samples\MATTAR.Reporting.BlazorSample\MATTAR.Reporting.BlazorSample.csproj,File,samples\MATTAR.Reporting.BlazorSample\MATTAR.Reporting.BlazorSample.csproj,,,,,,,,Infrastructure cible actuelle: net10.0 Infrastructure cible recommandé: net11.0
Api.0003,Modification du comportement dans la version .NET sélectionnée,Active,Potential,1,samples\MATTAR.Reporting.BlazorSample\MATTAR.Reporting.BlazorSample.csproj,File,samples\MATTAR.Reporting.BlazorSample\Program.cs,8,0,T:System.Uri,,,,,builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
Api.0003,Modification du comportement dans la version .NET sélectionnée,Active,Potential,1,samples\MATTAR.Reporting.BlazorSample\MATTAR.Reporting.BlazorSample.csproj,File,samples\MATTAR.Reporting.BlazorSample\Program.cs,8,0,M:System.Uri.#ctor(System.String),,,,,builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
Api.0003,Modification du comportement dans la version .NET sélectionnée,Active,Potential,1,samples\MATTAR.Reporting.BlazorSample\MATTAR.Reporting.BlazorSample.csproj,File,samples\MATTAR.Reporting.BlazorSample\Program.cs,8,0,T:System.Uri,,,,,builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,sample\MATTAR.Reporting.Console.csproj,File,sample\MATTAR.Reporting.Console.csproj,,,,,,,,Infrastructure cible actuelle: net10.0 Infrastructure cible recommandé: net11.0
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,src\MATTAR.Reporting.csproj,File,src\MATTAR.Reporting.csproj,,,,,,,,Infrastructure cible actuelle: net10.0;net10.0-browser Infrastructure cible recommandé: net10.0;net10.0-browser;net11.0;net11.0--browser
NuGet.0005,Le package NuGet est déconseillé,Active,Optional,1,tests\MATTAR.Reporting.Tests\MATTAR.Reporting.Tests.csproj,File,tests\MATTAR.Reporting.Tests\MATTAR.Reporting.Tests.csproj,,,xunit 2.9.3,,,,,"xunit, 2.9.3  Recommandation :  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,tests\MATTAR.Reporting.Tests\MATTAR.Reporting.Tests.csproj,File,tests\MATTAR.Reporting.Tests\MATTAR.Reporting.Tests.csproj,,,,,,,,Infrastructure cible actuelle: net10.0 Infrastructure cible recommandé: net11.0
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,samples\Blazor-Wasm\MattarReportBlazor.csproj,File,samples\Blazor-Wasm\MattarReportBlazor.csproj,,,,,,,,Infrastructure cible actuelle: net10.0 Infrastructure cible recommandé: net11.0
Api.0003,Modification du comportement dans la version .NET sélectionnée,Active,Potential,1,samples\Blazor-Wasm\MattarReportBlazor.csproj,File,samples\Blazor-Wasm\Program.cs,9,0,T:System.Uri,,,,,builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
Api.0003,Modification du comportement dans la version .NET sélectionnée,Active,Potential,1,samples\Blazor-Wasm\MattarReportBlazor.csproj,File,samples\Blazor-Wasm\Program.cs,9,0,M:System.Uri.#ctor(System.String),,,,,builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
Api.0003,Modification du comportement dans la version .NET sélectionnée,Active,Potential,1,samples\Blazor-Wasm\MattarReportBlazor.csproj,File,samples\Blazor-Wasm\Program.cs,9,0,T:System.Uri,,,,,builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
